,text,labels
0,launch update  we are targeting march 29 2021 for our next  starliner flight orbital flight test2our teams at,INTJ
1,our  program will play a critical role in the new national space policy working with commercial and international partners to establish a permanent presence on the moon more,INTJ
2,today we introduced the eighteen  who will form the  team theyll use their diverse range of backgrounds expertise and experience to pave the way for humans to return to the moon to stay,INTJ
3,we represent all walks of life in america and every kid in america and across the worldneeds to look at us and say you look like me i can do this  on the significance of being part of the  team,INTJ
4,like the apollo missions  says that  will have profound positive impacts and benefits for technology and culture,INTJ
5,the  artemis generation stands ready to prove what is possible together we will define a new era of lunar exploration,INTJ
6,we are returning to the moon and preparing to go beyond to mars today we are proud to share our portraits of the  artemi,INTJ
7,it is part of the human spirit to explore today wed like to introduce you to our  team  the initial team of  who will help pave the way for our next human missions on and around the moon,INTJ
8,my fellow americans i give you the heroes of the future wholl carry us back to the moon and beyond  the artemis generation   pence introduces the  artemis team of 18  including 5 attending the space council wholl prepare us for missions to the moon,INTJ
9,happening now  the latest news on our  artemis program which will return humans to the moon to build a sustainable presence there and pave the way for future missions to mars watch,INTJ
10,you can do anything  so happy to have you apart of the nasa  artemis family,INTJ
11,exactly  woohoo,INTJ
12,sn8 did great  even reaching apogee wouldve been great so controlling all way to putting the crater in the right spot was epic,INTJ
13,thank you south texas for your support  this is the gateway to mars,INTJ
14,life the universe and everything,INTJ
15,yeah engines did great,INTJ
16,mars here we come,INTJ
17,fuel header tank pressure was low during landing burn causing touchdown velocity to be high amp rud but we got all the data we needed  congrats spacex team hell yeah,INTJ
18,successful ascent switchover to header tanks amp precise flap control to landing point,INTJ
19,nearorbital space is the fastest way to travel long distance on earth,INTJ
20,its called the space station but its actually moving around earth at 25 times the speed of sound or 10 times faster than a rifle bullet,INTJ
21,timelapse of dragon on approach  two dragons now docked to the,INTJ
22,so long and thanks for the orifice  alien message decrypted,INTJ
23,probably 13 chance of completing all mission objectives,INTJ
24,hopefully flying tomorrow,INTJ
25,live look at me running to the tv to watch  thechallenge36 premiere right now on mtv,INTJ
26,excuse me um i love you,INTJ
27,in honor of s debut album  nightmarevacation she talked to  about bringing her music to live with incredible visuals  watch the full interview here,INTJ
28,double agents is someones 15th anniversary and 25th season with the show do you know who  were celebrating with a spec,INTJ
29,the moment your realize  thechallenge36 premieres tonight  dont miss tonights  premiere at 8p on mtv,INTJ
30,its time to get your  fridaylivestream picks in  1 tweet request  your favorite artist to 2 include  fridaylivestreamlet  know who you want to see,INTJ
31,long hair louis long hair louis louder this time long hair louis,INTJ
32,me and my friends on our way to watch  excusemeiloveyou together virtually,INTJ
33,these drinks will make you shake it on todays new episode of  basictobougie with   and   watch here on mtvs youtube,INTJ
34,this is my passion now   from loving  to putting out her own music we talked to  ziegler about her musical firsts for  firstcuts,INTJ
35,its premiere day   double agents premieres tonight at 87c on  tune in     thechallenge36,INTJ
36,t o n i g h t dont miss the premier of  double agents 87c ill be going live on ig after the show  in,INTJ
37,calling all  lambs reply to this tweet explaining why you love mariah or how shes impacted your life and your tweet might be featured on mtvs instagram,INTJ
38,its official   season 13 premieres new years day at 87c on   watch all of the meet the queens right now on vh1s youtube,INTJ
39,these queens are ringing in the ru year with a bang but who will snatch the crown     dragrace season 13 premieres,INTJ
